concept_id,concept_synonym_name,language_concept_id
921184241,17-AAG (IRB#03-006),4180186
921184241,Geldanamycin (17-AAG) IRB#99-037,4180186
921184241,17-Aag (Geldanamycin),4180186
921184241,17-AAG (IRB#04-056),4180186
921184241,17-AAG 1MG/1ML INJ.,4180186
921184241,17-AAG (IRB#04-082),4180186
921184241,Geldanamycin (17-AAG) IRB#03-006,4180186
921184241,17-AAG (Geldanamycin),4180186
921184241,17-AAG KOS953 (IRB#04-114),4180186
921184241,17-AAG (IRB#05-017),4180186
921184241,17-AAG (IRB#04-069),4180186
921184241,17-AAG (IRB#04-114),4180186
921184241,17-AAG,4180186
921184241,17-AAG (IRB#99-037),4180186
921184241,"TANESPIMYCIN (17-AAG, KOS-953)",4180186
921184242,17-DMAG (IRB#04-053),4180186
921184242,17-DMAG,4180186
921184242,"ALVESPIMYCIN (17-DMAG, KOS-1022)",4180186
921184243,"3F8 2MG/ML, 10ML VIAL",4180186
921184243,"3F8 MoAB (IRB#06-072) Inj INV, 20 mg",4180186
921184243,Heat Modified 3F8 MoAB (IRB#09-161),4180186
921184243,Heat Modified 3F8 MoAB (IRB#09-159),4180186
921184243,3F8 MoAB IRB # 00-065,4180186
921184243,3F8 MoAB (IRB#09-160),4180186
921184243,3F8 MoAB IRB #00-065,4180186
921184243,3F8 MoAB (IRB#94-018),4180186
921184243,3F8 MoAB (IRB#05-122),4180186
921184243,3F8 MoAB #01-075,4180186
921184243,"3F8 MoAB Inj INV, 20 mg",4180186
921184243,Heat Modified 3F8 MoAB (IRB#09-160),4180186
921184243,3F8 MoAB (IRB#05-073),4180186
921184243,3F8 MoAb + 5% Albumin INVEST,4180186
921184243,Heat Modified 3F8 MoAB (IRB#05-015),4180186
921184243,3F8 MoAB (IRB#04-050),4180186
921184243,3F8 MoAB (IRB#09-011),4180186
921184243,3F8 MoAB IRB #01-075,4180186
921184243,3F8 MoAB (IRB#09-161),4180186
921184243,Heat Modified 3F8 MoAb+5% Albumin INVEST,4180186
921184243,3F8 MoAB (IRB#97-021),4180186
921184243,3F8 MoAB (IRB#03-077),4180186
921184243,3F8 MoAB IRB #94-018,4180186
921184243,3F8 MoAB (IRB#00-065),4180186
921184243,3F8 MoAB #94-018,4180186
921184243,3F8 MoAB (IRB#09-159),4180186
921184243,3F8 MoAB,4180186
921184243,3F8 MoAB (IRB#05-015),4180186
921184243,3F8 MoAB (IRB#02-088),4180186
921184243,3F8 MoAB IRB #99-033,4180186
921184243,3F8 MoAB (IRB#01-075),4180186
921184243,3F8 MONOCLONAL ANTIBODY,4180186
921184243,3F8 MoAb SkinTest INVEST (Single Pt Use),4180186
921184243,3F8 MOAB,4180186
921184244,4-HYDROPEROXYCYCLOPHOSPHAMIDE,4180186
921184244,4-HYDROPEROXY-CYCLOPHOSPHAMIDE,4180186
921184245,6-MP,4180186
921184245,MELPHALAN,4180186
921184246,9 AMINOCAMPTHOTHECIN,4180186
921184246,9-AMINOCAMPTOTHECAN 2662.08MCG,4180186
921184246,9-AMINOCAMPTOTHECIN,4180186
921184246,9 AMINOCAMPTOTHECIN,4180186
921184246,9-AMINOCAPTOTHECIN,4180186
921184246,9-AMINOCAMPTOTHECIN 5MG VIAL,4180186
921184247,9-0-ACETYL GD3KLH 30MCG+QS21,4180186
921184247,9-0-ACETYLGD3KLH30MCG+QS21 100,4180186
921184247,9-0-ACETYL GD3KLH 30MCG,4180186
921184247,9-O-ACETYL GD3KLH,4180186
921184248,A1G4 1MG/ML INJ.,4180186
921184248,A1G4 (irb#97-024),4180186
921184248,A1G4 MONOCLONAL ANTIBODY,4180186
921184248,A1G4,4180186
921184248,A1G4 1000MCG/ML INJECTION,4180186
921184248,A1G4 1000MCG/ML,4180186
921184249,HUMANIZED-A33 MONOCLONAL ANTAB,4180186
921184249,MONOCLONAL-A33 ANTIBODY,4180186
921184249,HUMANIZED MONOCLONALA33(HUMA33,4180186
921184249,HUMANIZED-A33 MONOCLONALANTIBY,4180186
921184249,MONOCLONAL AB HUM-A33,4180186
921184249,HUMANIZED A33 MONOCLNLANTIBODY,4180186
921184249,HUMANIZED-133 MONOCLONAL ANTBY,4180186
921184249,HUMANIZED A33 ANTIBODY,4180186
921184249,HUMANIZED-A33 MOAB ANTIBODY,4180186
921184249,HUMANIZED MONOCLONAL-A33,4180186
921184249,HUMANIZED-A33 MOAB,4180186
921184249,HUMANIZED MOAB-A33,4180186
921184249,MONOCLONAL AB HUM-A33 9MG/ML,4180186
921184249,HUMANIZED-A33 MONOCLONAL ANTBY,4180186
